Visitor Lga Name 1,Park Tourism Region,Park,last_yr,this_yr,percent_change
Alexandrina Council,All,Conondale Range Great Walk,24,0,-100
Alexandrina Council,All,Cooloola Recreation Area,17,21,23.52941176
Alexandrina Council,All,Crediton State Forest,0,1,100
Alexandrina Council,All,Crows Nest National Park,4,0,-100
Alexandrina Council,All,Currawinya National Park,0,2,100
Alexandrina Council,All,Daintree National Park,22,0,-100
Alexandrina Council,All,Daintree National Park (CYPAL),0,56,100
Alexandrina Council,All,Danbulla National Park,18,68,277.7777778
Alexandrina Council,All,Davies Creek National Park,0,2,100
Alexandrina Council,All,Deepwater National Park,44,13,-70.45454545
Alexandrina Council,All,Diamantina National Park,0,2,100
Alexandrina Council,All,Dinden National Park,0,2,100
Alexandrina Council,All,Eungella National Park,14,20,42.85714286
Alexandrina Council,All,Eurimbula National Park,7,0,-100
Alexandrina Council,All,Expedition National Park,4,2,-50
Alexandrina Council,All,Girramay National Park,6,20,233.3333333
Alexandrina Council,All,Girraween National Park,4,6,50
Alexandrina Council,All,Girringun National Park,2,12,500
Alexandrina Council,All,Heathlands Resources Reserve,0,4,100
Alexandrina Council,All,Hell Hole Gorge National Park,0,2,100
Alexandrina Council,All,"Hinchinbrook Island NP, Thorsborne Trail",0,8,100
Alexandrina Council,All,Idalia National Park,0,9,100
Alexandrina Council,All,Imbil State Forest,0,4,100
Alexandrina Council,All,Inskip Peninsula Recreation Area,88,79,-10.22727273
Alexandrina Council,All,Isla Gorge National Park,14,4,-71.42857143
Alexandrina Council,All,Jardine River National Park,10,79,690
Alexandrina Council,All,K'gari (Fraser Island) Great Walk,0,6,100
Alexandrina Council,All,K'gari (Fraser Island) Recreation Area,271,284,4.79704797
Alexandrina Council,All,Keppel Bay Islands National Park,4,0,-100
Alexandrina Council,All,Kroombit Tops National Park,2,0,-100
Alexandrina Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),27,33,22.22222222
Alexandrina Council,All,Lochern National Park,5,0,-100
Alexandrina Council,All,Munga-Thirri National Park,14,0,-100
Alexandrina Council,All,Oyala Thumotang National Park (CYPAL),0,8,100
Alexandrina Council,All,Paluma Range National Park,16,52,225
Alexandrina Council,All,Porcupine Gorge National Park,17,8,-52.94117647
Alexandrina Council,All,Rinyirru (Lakefield) National Park (CYPAL),7,47,571.4285714
Alexandrina Council,All,Russell River National Park,2,21,950
Alexandrina Council,All,Speewah Conservation Park,0,34,100
Alexandrina Council,All,Springbrook National Park,0,5,100
Alexandrina Council,All,Sundown National Park,0,6,100
Alexandrina Council,All,Tuan State Forest,22,37,68.18181818
Alexandrina Council,All,Tully Gorge National Park,5,21,320
Alexandrina Council,All,Welford National Park,2,2,0
Alexandrina Council,All,White Mountains National Park,1,0,-100
Alexandrina Council,All,Whitsunday Islands National Park,24,15,-37.5
Alexandrina Council,All,Wooroonooran National Park,29,4,-86.20689655
Alexandrina Council,All,"Wooroonooran NP, Bartle Frere trail",0,3,100
Alpine Shire,All,Amamoor State Forest and Forest Reserve,0,7,100
Alpine Shire,All,Beerburrum and Beerwah State Forests,2,0,-100
Alpine Shire,All,Blackbraes National Park,3,0,-100
Alpine Shire,All,Bladensburg National Park,4,0,-100
Alpine Shire,All,Boodjamulla (Lawn Hill) National Park,18,0,-100
Alpine Shire,All,Bunya Mountains National Park,0,2,100
Alpine Shire,All,Burrum Coast National Park,2,0,-100
Alpine Shire,All,Byfield Conservation Park,4,0,-100
Alpine Shire,All,Cape Melville National Park (CYPAL),9,0,-100
Alpine Shire,All,Carnarvon National Park,0,18,100
Alpine Shire,All,Conondale National Park,10,0,-100
Alpine Shire,All,Cooloola Great Walk,4,0,-100
Alpine Shire,All,Cooloola Recreation Area,1,3,200
Alpine Shire,All,Crediton State Forest,2,0,-100
Alpine Shire,All,Currawinya National Park,10,2,-80
Alpine Shire,All,D'Aguilar National Park,0,1,100
Alpine Shire,All,Danbulla National Park,23,15,-34.7826087
Alpine Shire,All,Deepwater National Park,25,6,-76
Alpine Shire,All,Diamantina National Park,0,2,100
Alpine Shire,All,Dinden National Park,1,0,-100
Alpine Shire,All,Eungella National Park,0,4,100
Alpine Shire,All,Eurimbula National Park,0,1,100
Alpine Shire,All,Expedition National Park,6,12,100
Alpine Shire,All,Girramay National Park,6,0,-100
Alpine Shire,All,Girringun National Park,20,4,-80
Alpine Shire,All,"Hinchinbrook Island NP, Thorsborne Trail",8,0,-100
Alpine Shire,All,Idalia National Park,0,6,100
Alpine Shire,All,Imbil State Forest,2,0,-100
Alpine Shire,All,Inskip Peninsula Recreation Area,34,25,-26.47058824
Alpine Shire,All,Isla Gorge National Park,6,0,-100
Alpine Shire,All,K'gari (Fraser Island) Great Walk,3,8,166.6666667
Alpine Shire,All,K'gari (Fraser Island) Recreation Area,168,60,-64.28571429
Alpine Shire,All,Keppel Bay Islands National Park,0,8,100
Alpine Shire,All,Lochern National Park,0,4,100
Alpine Shire,All,Main Range National Park,6,0,-100
Alpine Shire,All,Moogerah Peaks National Park,0,1,100
Alpine Shire,All,Moorrinya National Park,2,0,-100
Alpine Shire,All,Nuga Nuga National Park,5,2,-60
Alpine Shire,All,Palmer Goldfield Resources Reserve,4,0,-100
Alpine Shire,All,Paluma Range National Park,12,2,-83.33333333
Alpine Shire,All,Porcupine Gorge National Park,6,8,33.33333333
Alpine Shire,All,Speewah Conservation Park,0,8,100
Alpine Shire,All,Springbrook National Park,0,6,100
Alpine Shire,All,Sundown National Park,4,0,-100
Alpine Shire,All,Sunshine Coast Hinterland Great Walk,0,6,100
Alpine Shire,All,Thrushton National Park,0,2,100
Alpine Shire,All,Tolderodden Conservation Park,0,2,100
Alpine Shire,All,Tully Gorge National Park,8,0,-100
Alpine Shire,All,Welford National Park,4,0,-100
Alpine Shire,All,White Mountains National Park,6,0,-100
Alpine Shire,All,Wongi State Forest,6,0,-100
Alpine Shire,All,Wooroonooran National Park,4,0,-100
Ararat Rural City,All,Beerburrum and Beerwah State Forests,10,6,-40
Ararat Rural City,All,Boodjamulla (Lawn Hill) National Park,1,0,-100
Ararat Rural City,All,Bribie Island Recreation Area,0,3,100
Ararat Rural City,All,Bunya Mountains National Park,0,2,100
Ararat Rural City,All,Byfield National Park,0,2,100
Ararat Rural City,All,Byfield State Forest,0,5,100
Ararat Rural City,All,Danbulla National Park,0,4,100
Ararat Rural City,All,Eurimbula National Park,0,8,100
Ararat Rural City,All,Hell Hole Gorge National Park,0,4,100
Ararat Rural City,All,"Hinchinbrook Island NP, Thorsborne Trail",6,0,-100
Ararat Rural City,All,Imbil State Forest,17,0,-100
Ararat Rural City,All,Inskip Peninsula Recreation Area,18,6,-66.66666667
Ararat Rural City,All,Jardine River National Park,5,0,-100
Ararat Rural City,All,K'gari (Fraser Island) Recreation Area,21,23,9.523809524
Ararat Rural City,All,Lochern National Park,2,0,-100
Ararat Rural City,All,Paluma Range National Park,0,4,100
Ararat Rural City,All,Porcupine Gorge National Park,0,4,100
Ararat Rural City,All,Rinyirru (Lakefield) National Park (CYPAL),0,7,100
Ararat Rural City,All,Speewah Conservation Park,4,0,-100
Ararat Rural City,All,Springbrook National Park,2,0,-100
Armidale Regional Council,All,Amamoor State Forest and Forest Reserve,0,4,100
Armidale Regional Council,All,Beerburrum and Beerwah State Forests,0,34,100
Armidale Regional Council,All,Bladensburg National Park,3,0,-100
Armidale Regional Council,All,Bribie Island Recreation Area,0,3,100
Armidale Regional Council,All,Bunya Mountains National Park,20,0,-100
Armidale Regional Council,All,Burrum Coast National Park,4,0,-100
Armidale Regional Council,All,Byfield National Park,3,0,-100
Armidale Regional Council,All,Byfield State Forest,9,0,-100
Armidale Regional Council,All,Capricornia Cays National Park,96,0,-100
Armidale Regional Council,All,Cooloola Great Walk,8,0,-100
Armidale Regional Council,All,Deepwater National Park,2,0,-100
Armidale Regional Council,All,Eurimbula National Park,2,0,-100
Armidale Regional Council,All,Girramay National Park,0,2,100
Armidale Regional Council,All,Girraween National Park,3,51,1600
Armidale Regional Council,All,Girringun National Park,2,0,-100
Armidale Regional Council,All,Inskip Peninsula Recreation Area,37,15,-59.45945946
Armidale Regional Council,All,Jardine River National Park,6,0,-100
Armidale Regional Council,All,K'gari (Fraser Island) Recreation Area,274,170,-37.95620438
Armidale Regional Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),4,0,-100
Armidale Regional Council,All,Main Range National Park,1,0,-100
Armidale Regional Council,All,Paluma Range National Park,0,4,100
Armidale Regional Council,All,Springbrook National Park,2,0,-100
Armidale Regional Council,All,Sundown National Park,6,0,-100
Ballarat City,All,Boodjamulla (Lawn Hill) National Park,14,0,-100
Ballarat City,All,Byfield State Forest,0,4,100
Ballarat City,All,Diamantina National Park,0,2,100
Ballarat City,All,Eurimbula National Park,4,0,-100
Ballarat City,All,Girraween National Park,2,6,200
Ballarat City,All,Girringun National Park,0,2,100
Ballarat City,All,Inskip Peninsula Recreation Area,10,56,460
Ballarat City,All,Jardine River National Park,0,10,100
Ballarat City,All,K'gari (Fraser Island) Recreation Area,130,8,-93.84615385
Ballarat City,All,Nuga Nuga National Park,8,0,-100
Ballarat City,All,Paluma Range National Park,0,6,100
Ballarat City,All,Porcupine Gorge National Park,1,0,-100
Ballarat City,All,Rinyirru (Lakefield) National Park (CYPAL),10,0,-100
Ballarat City,All,Tuan State Forest,6,0,-100
Ballarat City,All,Welford National Park,0,3,100
Ballina Shire Council,All,Abergowrie State Forest,0,17,100
Ballina Shire Council,All,Amamoor State Forest and Forest Reserve,20,82,310
Ballina Shire Council,All,Auburn River National Park,4,4,0
Ballina Shire Council,All,Beerburrum and Beerwah State Forests,91,68,-25.27472527
Ballina Shire Council,All,Benarkin State Forest,13,21,61.53846154
Ballina Shire Council,All,Blackbraes National Park,5,0,-100
Ballina Shire Council,All,Blackdown Tableland National Park,39,49,25.64102564
Ballina Shire Council,All,Bladensburg National Park,13,4,-69.23076923
Ballina Shire Council,All,Boodjamulla (Lawn Hill) National Park,27,0,-100
Ballina Shire Council,All,Bowling Green Bay National Park,0,9,100
Ballina Shire Council,All,Bribie Island Recreation Area,33,39,18.18181818
Ballina Shire Council,All,Broad Sound Islands National Park,3,0,-100
Ballina Shire Council,All,Brooyar State Forest,1,6,500
Ballina Shire Council,All,Bunya Mountains National Park,101,63,-37.62376238
Ballina Shire Council,All,Burrum Coast National Park,8,23,187.5
Ballina Shire Council,All,Byfield Conservation Park,18,10,-44.44444444
Ballina Shire Council,All,Byfield National Park,6,1,-83.33333333
Ballina Shire Council,All,Byfield State Forest,49,47,-4.081632653
Ballina Shire Council,All,Cape Hillsborough National Park,38,25,-34.21052632
Ballina Shire Council,All,Cape Melville National Park (CYPAL),6,0,-100
Ballina Shire Council,All,Cape Palmerston National Park,2,21,950
Ballina Shire Council,All,Capricornia Cays National Park,184,143,-22.2826087
Ballina Shire Council,All,Carnarvon Great Walk,35,21,-40
Ballina Shire Council,All,Carnarvon National Park,76,43,-43.42105263
Ballina Shire Council,All,Cathu State Forest,0,5,100
Ballina Shire Council,All,Charon Point Conservation Park,2,0,-100
Ballina Shire Council,All,Conondale National Park,19,31,63.15789474
Ballina Shire Council,All,Conondale Range Great Walk,0,1,100
Ballina Shire Council,All,Cooloola Great Walk,28,4,-85.71428571
Ballina Shire Council,All,Cooloola Recreation Area,382,382,0
Ballina Shire Council,All,Crediton State Forest,0,1,100
Ballina Shire Council,All,Crows Nest National Park,14,22,57.14285714
Ballina Shire Council,All,Currawinya National Park,12,15,25
Ballina Shire Council,All,D'Aguilar National Park,12,4,-66.66666667
Ballina Shire Council,All,Daintree National Park,52,0,-100
Ballina Shire Council,All,Daintree National Park (CYPAL),0,53,100
Ballina Shire Council,All,Dalrymple National Park,0,12,100
Ballina Shire Council,All,Danbulla National Park,53,45,-15.09433962
Ballina Shire Council,All,Davies Creek National Park,41,13,-68.29268293
Ballina Shire Council,All,Deepwater National Park,88,81,-7.954545455
Ballina Shire Council,All,Diamantina National Park,0,3,100
Ballina Shire Council,All,Dinden National Park,11,2,-81.81818182
Ballina Shire Council,All,Eungella National Park,25,34,36
Ballina Shire Council,All,Eurimbula National Park,47,59,25.53191489
Ballina Shire Council,All,Expedition National Park,12,4,-66.66666667
Ballina Shire Council,All,Forest Den National Park,4,0,-100
Ballina Shire Council,All,Frankland Group National Park,0,6,100
Ballina Shire Council,All,Girramay National Park,49,21,-57.14285714
Ballina Shire Council,All,Girraween National Park,544,302,-44.48529412
Ballina Shire Council,All,Girringun National Park,21,34,61.9047619
Ballina Shire Council,All,Glen Rock State Forest,5,0,-100
Ballina Shire Council,All,Gold Coast Hinterland Great Walk,0,11,100
Ballina Shire Council,All,Heathlands Resources Reserve,2,0,-100
Ballina Shire Council,All,Hell Hole Gorge National Park,0,6,100
Ballina Shire Council,All,Hinchinbrook Island National Park,0,9,100
Ballina Shire Council,All,"Hinchinbrook Island NP, Thorsborne Trail",16,29,81.25
Ballina Shire Council,All,Idalia National Park,13,8,-38.46153846
Ballina Shire Council,All,Imbil State Forest,23,41,78.26086957
Ballina Shire Council,All,Inskip Peninsula Recreation Area,379,323,-14.77572559
Ballina Shire Council,All,Isla Gorge National Park,16,11,-31.25
Ballina Shire Council,All,Jardine River National Park,24,39,62.5
Ballina Shire Council,All,Jimna State Forest,8,9,12.5
Ballina Shire Council,All,K'gari (Fraser Island) Great Walk,139,89,-35.97122302
Ballina Shire Council,All,K'gari (Fraser Island) Recreation Area,"1,644","1,085",-34.00243309
Ballina Shire Council,All,Kalpowar State Forest,0,5,100
Ballina Shire Council,All,Keppel Bay Islands National Park,16,119,643.75
Ballina Shire Council,All,Kroombit Tops National Park,4,1,-75
Ballina Shire Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),27,24,-11.11111111
Ballina Shire Council,All,Lake Murphy Conservation Park,0,4,100
Ballina Shire Council,All,Lamington National Park,4,24,500
Ballina Shire Council,All,Main Range Conservation Park,0,1,100
Ballina Shire Council,All,Main Range National Park,76,40,-47.36842105
Ballina Shire Council,All,Molle Islands National Park,2,2,0
Ballina Shire Council,All,Moogerah Peaks National Park,22,5,-77.27272727
Ballina Shire Council,All,Mount Barney National Park,19,11,-42.10526316
Ballina Shire Council,All,Naree Budjong Djara National Park,2,16,700
Ballina Shire Council,All,Nuga Nuga National Park,15,2,-86.66666667
Ballina Shire Council,All,Oyala Thumotang National Park (CYPAL),8,0,-100
Ballina Shire Council,All,Paluma Range National Park,117,120,2.564102564
Ballina Shire Council,All,Porcupine Gorge National Park,76,40,-47.36842105
Ballina Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),19,20,5.263157895
Ballina Shire Council,All,Russell River National Park,4,2,-50
Ballina Shire Council,All,Speewah Conservation Park,29,11,-62.06896552
Ballina Shire Council,All,Springbrook National Park,70,209,198.5714286
Ballina Shire Council,All,Sundown National Park,78,27,-65.38461538
Ballina Shire Council,All,Sunshine Coast Hinterland Great Walk,13,9,-30.76923077
Ballina Shire Council,All,Tolderodden Conservation Park,0,1,100
Ballina Shire Council,All,Tuan State Forest,23,0,-100
Ballina Shire Council,All,Tully Gorge National Park,8,4,-50
Ballina Shire Council,All,Welford National Park,8,5,-37.5
Ballina Shire Council,All,White Mountains National Park,4,6,50
Ballina Shire Council,All,Whitsunday Islands National Park,75,40,-46.66666667
Ballina Shire Council,All,Wongi State Forest,0,14,100
Ballina Shire Council,All,Wooroonooran National Park,34,45,32.35294118
Ballina Shire Council,All,"Wooroonooran NP, Bartle Frere trail",0,5,100
Balonne Shire,All,Amamoor State Forest and Forest Reserve,0,1,100
Balonne Shire,All,Beerburrum and Beerwah State Forests,0,1,100
Balonne Shire,All,Benarkin State Forest,0,4,100
Balonne Shire,All,Blackdown Tableland National Park,32,6,-81.25
Balonne Shire,All,Boodjamulla (Lawn Hill) National Park,26,0,-100
Balonne Shire,All,Bribie Island Recreation Area,39,25,-35.8974359
Balonne Shire,All,Brooyar State Forest,0,1,100
Balonne Shire,All,Bulburin National Park,2,0,-100
Balonne Shire,All,Bunya Mountains National Park,82,34,-58.53658537
Balonne Shire,All,Burrum Coast National Park,18,10,-44.44444444
Balonne Shire,All,Byfield National Park,28,0,-100
Balonne Shire,All,Byfield State Forest,7,2,-71.42857143
Balonne Shire,All,Cape Hillsborough National Park,0,13,100
Balonne Shire,All,Carnarvon Great Walk,7,12,71.42857143
Balonne Shire,All,Carnarvon National Park,145,187,28.96551724
Balonne Shire,All,Cathu State Forest,2,0,-100
Balonne Shire,All,Conondale National Park,14,4,-71.42857143
Balonne Shire,All,Cooloola Great Walk,1,0,-100
Balonne Shire,All,Cooloola Recreation Area,129,61,-52.71317829
Balonne Shire,All,Crediton State Forest,8,0,-100
Balonne Shire,All,Crows Nest National Park,2,0,-100
Balonne Shire,All,Culgoa Floodplain National Park,0,2,100
Balonne Shire,All,Currawinya National Park,11,4,-63.63636364
Balonne Shire,All,D'Aguilar National Park,0,2,100
Balonne Shire,All,Danbulla National Park,0,6,100
Balonne Shire,All,Davies Creek National Park,4,0,-100
Balonne Shire,All,Deepwater National Park,0,9,100
Balonne Shire,All,Diamantina National Park,0,4,100
Balonne Shire,All,Eungella National Park,2,2,0
Balonne Shire,All,Eurimbula National Park,30,22,-26.66666667
Balonne Shire,All,Expedition National Park,12,3,-75
Balonne Shire,All,Family Islands National Park,0,5,100
Balonne Shire,All,Forest Den National Park,18,20,11.11111111
Balonne Shire,All,Girramay National Park,1,0,-100
Balonne Shire,All,Girraween National Park,22,12,-45.45454545
Balonne Shire,All,Gold Coast Hinterland Great Walk,4,0,-100
Balonne Shire,All,Goold Island National Park,0,3,100
Balonne Shire,All,Heathlands Resources Reserve,2,0,-100
Balonne Shire,All,Hell Hole Gorge National Park,2,4,100
Balonne Shire,All,Hinchinbrook Island National Park,0,2,100
Balonne Shire,All,"Hinchinbrook Island NP, Thorsborne Trail",11,7,-36.36363636
Balonne Shire,All,Imbil State Forest,0,19,100
Balonne Shire,All,Inskip Peninsula Recreation Area,89,48,-46.06741573
Balonne Shire,All,Isla Gorge National Park,0,3,100
Balonne Shire,All,Jardine River National Park,0,18,100
Balonne Shire,All,Jimna State Forest,0,2,100
Balonne Shire,All,K'gari (Fraser Island) Recreation Area,367,376,2.452316076
Balonne Shire,All,Lake Murphy Conservation Park,2,0,-100
Balonne Shire,All,Main Range National Park,3,0,-100
Balonne Shire,All,"Main Range NP, Scenic Rim Trail",12,0,-100
Balonne Shire,All,Nuga Nuga National Park,4,33,725
Balonne Shire,All,Paluma Range National Park,4,2,-50
Balonne Shire,All,Porcupine Gorge National Park,21,2,-90.47619048
Balonne Shire,All,Rinyirru (Lakefield) National Park (CYPAL),0,2,100
Balonne Shire,All,Speewah Conservation Park,6,0,-100
Balonne Shire,All,Springbrook National Park,0,4,100
Balonne Shire,All,Sunshine Coast Hinterland Great Walk,27,0,-100
Balonne Shire,All,Tuan State Forest,68,119,75
Balonne Shire,All,Tully Gorge National Park,0,1,100
Balonne Shire,All,Welford National Park,2,2,0
Balonne Shire,All,Whitsunday Islands National Park,0,10,100
Balranald Shire Council,All,Blackbraes National Park,8,0,-100
Balranald Shire Council,All,Bribie Island Recreation Area,0,4,100
Balranald Shire Council,All,Brooyar State Forest,0,2,100
Balranald Shire Council,All,Byfield Conservation Park,2,0,-100
Balranald Shire Council,All,Conondale National Park,8,0,-100
Balranald Shire Council,All,Cooloola Recreation Area,0,12,100
Balranald Shire Council,All,Daintree National Park (CYPAL),0,4,100
Balranald Shire Council,All,Danbulla National Park,0,3,100
Balranald Shire Council,All,Deepwater National Park,0,2,100
Balranald Shire Council,All,Eurimbula National Park,0,2,100
Balranald Shire Council,All,Girringun National Park,2,2,0
Balranald Shire Council,All,Heathlands Resources Reserve,9,0,-100
Balranald Shire Council,All,Hell Hole Gorge National Park,4,2,-50
Balranald Shire Council,All,Homevale National Park,0,2,100
Balranald Shire Council,All,Idalia National Park,4,0,-100
Balranald Shire Council,All,Inskip Peninsula Recreation Area,6,38,533.3333333
Balranald Shire Council,All,Jardine River National Park,0,5,100
Balranald Shire Council,All,K'gari (Fraser Island) Recreation Area,270,288,6.666666667
Balranald Shire Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),8,6,-25
Balranald Shire Council,All,Paluma Range National Park,0,10,100
Balranald Shire Council,All,Porcupine Gorge National Park,0,21,100
Balranald Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),0,1,100
Balranald Shire Council,All,Springbrook National Park,6,1,-83.33333333
Balranald Shire Council,All,Tolderodden Conservation Park,0,4,100
Balranald Shire Council,All,Whitsunday Islands National Park,0,1,100
Balranald Shire Council,All,Wooroonooran National Park,0,2,100
Banana Shire,All,Abergowrie State Forest,15,35,133.3333333
Banana Shire,All,Amamoor State Forest and Forest Reserve,50,69,38
Banana Shire,All,Auburn River National Park,46,15,-67.39130435
Banana Shire,All,Beerburrum and Beerwah State Forests,23,41,78.26086957
Banana Shire,All,Benarkin State Forest,2,15,650
Banana Shire,All,Blackbraes National Park,8,13,62.5
Banana Shire,All,Blackdown Tableland National Park,828,681,-17.75362319
Banana Shire,All,Bladensburg National Park,10,8,-20
Banana Shire,All,Boodjamulla (Lawn Hill) National Park,109,0,-100
Banana Shire,All,Bowling Green Bay National Park,2,2,0
Banana Shire,All,Bribie Island Recreation Area,73,105,43.83561644
Banana Shire,All,Brooyar State Forest,12,22,83.33333333
Banana Shire,All,Bulburin National Park,179,77,-56.98324022
