Tr_Name,Park,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Adelaide,Capricornia Cays National Park,All,6,0,-100
Adelaide,Capricornia Cays National Park,Central Queensland,6,0,-100
Adelaide,Carnarvon Great Walk,All,14,0,-100
Adelaide,Carnarvon Great Walk,Central Queensland,14,0,-100
Adelaide,Carnarvon National Park,All,64,36,-43.75
Adelaide,Carnarvon National Park,Central Queensland,64,36,-43.75
Adelaide,Cathu State Forest,All,1,4,300
Adelaide,Cathu State Forest,Mackay,1,4,300
Adelaide,Conondale National Park,All,30,14,-53.33333333
Adelaide,Conondale National Park,Sunshine Coast,30,14,-53.33333333
Adelaide,Conondale Range Great Walk,All,0,28,100
Adelaide,Conondale Range Great Walk,Sunshine Coast,0,28,100
Adelaide,Cooloola Great Walk,All,24,26,8.333333333
Adelaide,Cooloola Great Walk,Sunshine Coast,24,26,8.333333333
Adelaide,Cooloola Recreation Area,All,70,153,118.5714286
Adelaide,Cooloola Recreation Area,Sunshine Coast,70,153,118.5714286
Adelaide,Crediton State Forest,All,18,2,-88.88888889
Adelaide,Crediton State Forest,Mackay,18,2,-88.88888889
Adelaide,Crows Nest National Park,All,15,8,-46.66666667
Adelaide,Crows Nest National Park,Darling Downs,15,8,-46.66666667
Adelaide,Currawinya National Park,All,22,55,150
Adelaide,Currawinya National Park,Outback,22,55,150
Adelaide,D'Aguilar National Park,All,9,8,-11.11111111
Adelaide,D'Aguilar National Park,Brisbane,9,8,-11.11111111
Adelaide,Daintree National Park,All,89,0,-100
Adelaide,Daintree National Park,Tropical North Queensland,89,0,-100
Adelaide,Daintree National Park (CYPAL),All,0,78,100
Adelaide,Daintree National Park (CYPAL),Tropical North Queensland,0,78,100
Adelaide,Dalrymple National Park,All,2,0,-100
Adelaide,Dalrymple National Park,Townsville,2,0,-100
Adelaide,Danbulla National Park,All,112,59,-47.32142857
Adelaide,Danbulla National Park,Tropical North Queensland,112,59,-47.32142857
Adelaide,Davies Creek National Park,All,4,12,200
Adelaide,Davies Creek National Park,Tropical North Queensland,4,12,200
Adelaide,Deepwater National Park,All,31,20,-35.48387097
Adelaide,Deepwater National Park,Central Queensland,31,20,-35.48387097
Adelaide,Diamantina National Park,All,30,30,0
Adelaide,Diamantina National Park,Outback,30,30,0
Adelaide,Dinden National Park,All,4,0,-100
Adelaide,Dinden National Park,Tropical North Queensland,4,0,-100
Adelaide,Eungella National Park,All,91,97,6.593406593
Adelaide,Eungella National Park,Mackay,91,97,6.593406593
Adelaide,Eurimbula National Park,All,21,15,-28.57142857
Adelaide,Eurimbula National Park,Central Queensland,21,15,-28.57142857
Adelaide,Expedition National Park,All,43,6,-86.04651163
Adelaide,Expedition National Park,Central Queensland,43,6,-86.04651163
Adelaide,Forest Den National Park,All,2,1,-50
Adelaide,Forest Den National Park,Outback,2,1,-50
Adelaide,Girramay National Park,All,68,51,-25
Adelaide,Girramay National Park,Tropical North Queensland,68,51,-25
Adelaide,Girraween National Park,All,19,24,26.31578947
Adelaide,Girraween National Park,Darling Downs,19,24,26.31578947
Adelaide,Girringun National Park,All,67,66,-1.492537313
Adelaide,Girringun National Park,Tropical North Queensland,67,66,-1.492537313
Adelaide,Glen Rock State Forest,All,4,0,-100
Adelaide,Glen Rock State Forest,Brisbane,4,0,-100
Adelaide,Gold Coast Hinterland Great Walk,All,0,5,100
Adelaide,Gold Coast Hinterland Great Walk,Gold Coast,0,5,100
Adelaide,Heathlands Resources Reserve,All,6,18,200
Adelaide,Heathlands Resources Reserve,Tropical North Queensland,6,18,200
Adelaide,Hell Hole Gorge National Park,All,2,6,200
Adelaide,Hell Hole Gorge National Park,Outback,2,6,200
Adelaide,Hinchinbrook Island National Park,All,22,0,-100
Adelaide,Hinchinbrook Island National Park,Tropical North Queensland,22,0,-100
Adelaide,"Hinchinbrook Island NP, Thorsborne Trail",All,63,38,-39.68253968
Adelaide,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,63,38,-39.68253968
Adelaide,Idalia National Park,All,4,8,100
Adelaide,Idalia National Park,Outback,4,8,100
Adelaide,Imbil State Forest,All,15,16,6.666666667
Adelaide,Imbil State Forest,"Launceston, Tamar and the North",15,16,6.666666667
Adelaide,Inskip Peninsula Recreation Area,All,283,352,24.38162544
Adelaide,Inskip Peninsula Recreation Area,Sunshine Coast,283,352,24.38162544
Adelaide,Isla Gorge National Park,All,10,11,10
Adelaide,Isla Gorge National Park,Central Queensland,10,11,10
Adelaide,Jardine River National Park,All,126,127,0.793650794
Adelaide,Jardine River National Park,Tropical North Queensland,126,127,0.793650794
Adelaide,Jimna State Forest,All,0,8,100
Adelaide,Jimna State Forest,"Launceston, Tamar and the North",0,8,100
Adelaide,K'gari (Fraser Island) Great Walk,All,33,53,60.60606061
Adelaide,K'gari (Fraser Island) Great Walk,Fraser Coast,33,53,60.60606061
Adelaide,K'gari (Fraser Island) Recreation Area,All,767,996,29.85658409
Adelaide,K'gari (Fraser Island) Recreation Area,Fraser Coast,767,996,29.85658409
Adelaide,Kalpowar State Forest,All,10,2,-80
Adelaide,Kalpowar State Forest,Bundaberg,10,2,-80
Adelaide,Keppel Bay Islands National Park,All,0,14,100
Adelaide,Keppel Bay Islands National Park,Central Queensland,0,14,100
Adelaide,Koombooloomba National Park and Conservation Park,All,3,0,-100
Adelaide,Koombooloomba National Park and Conservation Park,Tropical North Queensland,3,0,-100
Adelaide,Kroombit Tops National Park,All,4,0,-100
Adelaide,Kroombit Tops National Park,Central Queensland,4,0,-100
Adelaide,Kutini-Payamu (Iron Range) National Park (CYPAL),All,98,166,69.3877551
Adelaide,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,98,166,69.3877551
Adelaide,Lake Murphy Conservation Park,All,0,6,100
Adelaide,Lake Murphy Conservation Park,Central Queensland,0,6,100
Adelaide,Lamington National Park,All,1,0,-100
Adelaide,Lamington National Park,Gold Coast,1,0,-100
Adelaide,Lindeman Islands National Park,All,15,0,-100
Adelaide,Lindeman Islands National Park,Mackay,15,0,-100
Adelaide,Lochern National Park,All,3,1,-66.66666667
Adelaide,Lochern National Park,Outback,3,1,-66.66666667
Adelaide,Main Range Conservation Park,All,0,4,100
Adelaide,Main Range Conservation Park,Queensland Country,0,4,100
Adelaide,Main Range National Park,All,28,33,17.85714286
Adelaide,Main Range National Park,Brisbane,28,33,17.85714286
Adelaide,"Main Range NP, Scenic Rim Trail",All,12,0,-100
Adelaide,"Main Range NP, Scenic Rim Trail",Brisbane,12,0,-100
Adelaide,Molle Islands National Park,All,10,23,130
Adelaide,Molle Islands National Park,Whitsundays,10,23,130
Adelaide,Moogerah Peaks National Park,All,63,33,-47.61904762
Adelaide,Moogerah Peaks National Park,Brisbane,63,33,-47.61904762
Adelaide,Moorrinya National Park,All,2,1,-50
Adelaide,Moorrinya National Park,Outback,2,1,-50
Adelaide,Mount Barney National Park,All,0,27,100
Adelaide,Mount Barney National Park,Gold Coast,0,27,100
Adelaide,Mouth of Baffle Creek Conservation Park,All,0,4,100
Adelaide,Mouth of Baffle Creek Conservation Park,Central Queensland,0,4,100
Adelaide,Munga-Thirri National Park,All,42,18,-57.14285714
Adelaide,Munga-Thirri National Park,Outback,42,18,-57.14285714
Adelaide,Ngalba Bulal National Park,All,0,2,100
Adelaide,Ngalba Bulal National Park,Tropical North Queensland,0,2,100
Adelaide,Nuga Nuga National Park,All,3,4,33.33333333
Adelaide,Nuga Nuga National Park,Central Queensland,3,4,33.33333333
Adelaide,Oyala Thumotang National Park (CYPAL),All,2,2,0
Adelaide,Oyala Thumotang National Park (CYPAL),Tropical North Queensland,2,2,0
Adelaide,Paluma Range National Park,All,125,109,-12.8
Adelaide,Paluma Range National Park,Townsville,125,109,-12.8
Adelaide,Porcupine Gorge National Park,All,111,105,-5.405405405
Adelaide,Porcupine Gorge National Park,Outback,111,105,-5.405405405
Adelaide,Rinyirru (Lakefield) National Park (CYPAL),All,33,118,257.5757576
Adelaide,Rinyirru (Lakefield) National Park (CYPAL),Tropical North Queensland,33,118,257.5757576
Adelaide,Russell River National Park,All,3,0,-100
Adelaide,Russell River National Park,Tropical North Queensland,3,0,-100
Adelaide,Speewah Conservation Park,All,27,19,-29.62962963
Adelaide,Speewah Conservation Park,Tropical North Queensland,27,19,-29.62962963
Adelaide,Springbrook National Park,All,69,60,-13.04347826
Adelaide,Springbrook National Park,Gold Coast,69,60,-13.04347826
Adelaide,Sundown National Park,All,2,6,200
Adelaide,Sundown National Park,Darling Downs,2,6,200
Adelaide,Sunshine Coast Hinterland Great Walk,All,8,6,-25
Adelaide,Sunshine Coast Hinterland Great Walk,Sunshine Coast,8,6,-25
Adelaide,Thrushton National Park,All,1,0,-100
Adelaide,Thrushton National Park,Darling Downs,1,0,-100
Adelaide,Tolderodden Conservation Park,All,0,4,100
Adelaide,Tolderodden Conservation Park,Bundaberg,0,4,100
Adelaide,Total,All,"3,698","3,791",2.514872904
Adelaide,Total,Brisbane,118,91,-22.88135593
Adelaide,Total,Bundaberg,19,10,-47.36842105
Adelaide,Total,Central Queensland,294,225,-23.46938776
Adelaide,Total,Darling Downs,66,84,27.27272727
Adelaide,Total,Fraser Coast,840,"1,134",35
Adelaide,Total,Gold Coast,70,92,31.42857143
Adelaide,Total,"Launceston, Tamar and the North",23,47,104.3478261
Adelaide,Total,Mackay,145,124,-14.48275862
Adelaide,Total,Outback,266,245,-7.894736842
Adelaide,Total,Queensland Country,0,4,100
Adelaide,Total,Sunshine Coast,474,664,40.08438819
Adelaide,Total,Townsville,137,133,-2.919708029
Adelaide,Total,Tropical North Queensland,"1,109",898,-19.02614968
Adelaide,Total,Whitsundays,137,40,-70.80291971
Adelaide,Tuan State Forest,All,19,34,78.94736842
Adelaide,Tuan State Forest,Fraser Coast,19,34,78.94736842
Adelaide,Tully Gorge National Park,All,22,15,-31.81818182
Adelaide,Tully Gorge National Park,Tropical North Queensland,22,15,-31.81818182
Adelaide,Welford National Park,All,24,5,-79.16666667
Adelaide,Welford National Park,Outback,24,5,-79.16666667
Adelaide,White Mountains National Park,All,0,6,100
Adelaide,White Mountains National Park,Townsville,0,6,100
Adelaide,Whitsunday Islands National Park,All,127,17,-86.61417323
Adelaide,Whitsunday Islands National Park,Whitsundays,127,17,-86.61417323
Adelaide,Wild Cattle Island National Park,All,2,0,-100
Adelaide,Wild Cattle Island National Park,Central Queensland,2,0,-100
Adelaide,Wongi State Forest,All,6,5,-16.66666667
Adelaide,Wongi State Forest,Fraser Coast,6,5,-16.66666667
Adelaide,Wooroonooran National Park,All,68,99,45.58823529
Adelaide,Wooroonooran National Park,Tropical North Queensland,68,99,45.58823529
Adelaide Hills,Abergowrie State Forest,All,1,2,100
Adelaide Hills,Abergowrie State Forest,Townsville,1,2,100
Adelaide Hills,Amamoor State Forest and Forest Reserve,All,2,0,-100
Adelaide Hills,Amamoor State Forest and Forest Reserve,Sunshine Coast,2,0,-100
Adelaide Hills,Auburn River National Park,All,0,4,100
Adelaide Hills,Auburn River National Park,Bundaberg,0,4,100
Adelaide Hills,Beerburrum and Beerwah State Forests,All,8,13,62.5
Adelaide Hills,Beerburrum and Beerwah State Forests,Sunshine Coast,8,13,62.5
Adelaide Hills,Benarkin State Forest,All,0,2,100
Adelaide Hills,Benarkin State Forest,Darling Downs,0,2,100
Adelaide Hills,Blackbraes National Park,All,12,0,-100
Adelaide Hills,Blackbraes National Park,Tropical North Queensland,12,0,-100
Adelaide Hills,Blackdown Tableland National Park,All,8,21,162.5
Adelaide Hills,Blackdown Tableland National Park,Central Queensland,8,21,162.5
Adelaide Hills,Bladensburg National Park,All,24,4,-83.33333333
Adelaide Hills,Bladensburg National Park,Outback,24,4,-83.33333333
Adelaide Hills,Boodjamulla (Lawn Hill) National Park,All,52,0,-100
Adelaide Hills,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,52,0,-100
Adelaide Hills,Bribie Island Recreation Area,All,1,4,300
Adelaide Hills,Bribie Island Recreation Area,Brisbane,1,4,300
Adelaide Hills,Brooyar State Forest,All,0,10,100
Adelaide Hills,Brooyar State Forest,"Launceston, Tamar and the North",0,10,100
Adelaide Hills,Bunya Mountains National Park,All,8,21,162.5
Adelaide Hills,Bunya Mountains National Park,Darling Downs,8,21,162.5
Adelaide Hills,Burrum Coast National Park,All,4,34,750
Adelaide Hills,Burrum Coast National Park,Fraser Coast,4,34,750
Adelaide Hills,Byfield Conservation Park,All,0,2,100
Adelaide Hills,Byfield Conservation Park,Central Queensland,0,2,100
Adelaide Hills,Byfield State Forest,All,12,44,266.6666667
Adelaide Hills,Byfield State Forest,Central Queensland,12,44,266.6666667
Adelaide Hills,Cape Hillsborough National Park,All,0,8,100
Adelaide Hills,Cape Hillsborough National Park,Mackay,0,8,100
Adelaide Hills,Cape Palmerston National Park,All,0,2,100
Adelaide Hills,Cape Palmerston National Park,Mackay,0,2,100
Adelaide Hills,Carnarvon Great Walk,All,5,2,-60
Adelaide Hills,Carnarvon Great Walk,Central Queensland,5,2,-60
Adelaide Hills,Carnarvon National Park,All,14,27,92.85714286
Adelaide Hills,Carnarvon National Park,Central Queensland,14,27,92.85714286
Adelaide Hills,Cathu State Forest,All,2,0,-100
Adelaide Hills,Cathu State Forest,Mackay,2,0,-100
Adelaide Hills,Conondale National Park,All,1,7,600
Adelaide Hills,Conondale National Park,Sunshine Coast,1,7,600
Adelaide Hills,Cooloola Recreation Area,All,6,23,283.3333333
Adelaide Hills,Cooloola Recreation Area,Sunshine Coast,6,23,283.3333333
Adelaide Hills,Crediton State Forest,All,0,2,100
Adelaide Hills,Crediton State Forest,Mackay,0,2,100
Adelaide Hills,Crows Nest National Park,All,4,4,0
Adelaide Hills,Crows Nest National Park,Darling Downs,4,4,0
Adelaide Hills,Currawinya National Park,All,22,6,-72.72727273
Adelaide Hills,Currawinya National Park,Outback,22,6,-72.72727273
Adelaide Hills,D'Aguilar National Park,All,0,8,100
Adelaide Hills,D'Aguilar National Park,Brisbane,0,8,100
Adelaide Hills,Daintree National Park,All,32,0,-100
Adelaide Hills,Daintree National Park,Tropical North Queensland,32,0,-100
Adelaide Hills,Daintree National Park (CYPAL),All,0,4,100
Adelaide Hills,Daintree National Park (CYPAL),Tropical North Queensland,0,4,100
Adelaide Hills,Danbulla National Park,All,34,21,-38.23529412
Adelaide Hills,Danbulla National Park,Tropical North Queensland,34,21,-38.23529412
Adelaide Hills,Davies Creek National Park,All,0,3,100
Adelaide Hills,Davies Creek National Park,Tropical North Queensland,0,3,100
Adelaide Hills,Deepwater National Park,All,4,14,250
Adelaide Hills,Deepwater National Park,Central Queensland,4,14,250
Adelaide Hills,Diamantina National Park,All,22,4,-81.81818182
Adelaide Hills,Diamantina National Park,Outback,22,4,-81.81818182
Adelaide Hills,Dinden National Park,All,0,1,100
Adelaide Hills,Dinden National Park,Tropical North Queensland,0,1,100
Adelaide Hills,Eungella National Park,All,16,15,-6.25
Adelaide Hills,Eungella National Park,Mackay,16,15,-6.25
Adelaide Hills,Eurimbula National Park,All,8,5,-37.5
Adelaide Hills,Eurimbula National Park,Central Queensland,8,5,-37.5
Adelaide Hills,Expedition National Park,All,2,2,0
Adelaide Hills,Expedition National Park,Central Queensland,2,2,0
Adelaide Hills,Frankland Group National Park,All,0,4,100
Adelaide Hills,Frankland Group National Park,Tropical North Queensland,0,4,100
Adelaide Hills,Girramay National Park,All,14,22,57.14285714
Adelaide Hills,Girramay National Park,Tropical North Queensland,14,22,57.14285714
Adelaide Hills,Girraween National Park,All,10,16,60
Adelaide Hills,Girraween National Park,Darling Downs,10,16,60
Adelaide Hills,Girringun National Park,All,19,12,-36.84210526
Adelaide Hills,Girringun National Park,Tropical North Queensland,19,12,-36.84210526
Adelaide Hills,Gloucester Islands National Park,All,16,0,-100
Adelaide Hills,Gloucester Islands National Park,Whitsundays,16,0,-100
Adelaide Hills,Heathlands Resources Reserve,All,2,16,700
Adelaide Hills,Heathlands Resources Reserve,Tropical North Queensland,2,16,700
Adelaide Hills,Hell Hole Gorge National Park,All,28,0,-100
Adelaide Hills,Hell Hole Gorge National Park,Outback,28,0,-100
Adelaide Hills,"Hinchinbrook Island NP, Thorsborne Trail",All,22,7,-68.18181818
Adelaide Hills,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,22,7,-68.18181818
Adelaide Hills,Imbil State Forest,All,4,0,-100
Adelaide Hills,Imbil State Forest,"Launceston, Tamar and the North",4,0,-100
Adelaide Hills,Inskip Peninsula Recreation Area,All,68,16,-76.47058824
Adelaide Hills,Inskip Peninsula Recreation Area,Sunshine Coast,68,16,-76.47058824
Adelaide Hills,Jardine River National Park,All,64,19,-70.3125
Adelaide Hills,Jardine River National Park,Tropical North Queensland,64,19,-70.3125
Adelaide Hills,K'gari (Fraser Island) Great Walk,All,14,0,-100
Adelaide Hills,K'gari (Fraser Island) Great Walk,Fraser Coast,14,0,-100
Adelaide Hills,K'gari (Fraser Island) Recreation Area,All,366,375,2.459016393
Adelaide Hills,K'gari (Fraser Island) Recreation Area,Fraser Coast,366,375,2.459016393
Adelaide Hills,Kalpowar State Forest,All,2,8,300
Adelaide Hills,Kalpowar State Forest,Bundaberg,2,8,300
Adelaide Hills,Koombooloomba National Park and Conservation Park,All,4,0,-100
Adelaide Hills,Koombooloomba National Park and Conservation Park,Tropical North Queensland,4,0,-100
Adelaide Hills,Kroombit Tops National Park,All,2,3,50
Adelaide Hills,Kroombit Tops National Park,Central Queensland,2,3,50
Adelaide Hills,Kutini-Payamu (Iron Range) National Park (CYPAL),All,144,12,-91.66666667
Adelaide Hills,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,144,12,-91.66666667
Adelaide Hills,Lake Murphy Conservation Park,All,0,2,100
Adelaide Hills,Lake Murphy Conservation Park,Central Queensland,0,2,100
Adelaide Hills,Main Range National Park,All,2,0,-100
Adelaide Hills,Main Range National Park,Brisbane,2,0,-100
Adelaide Hills,Moogerah Peaks National Park,All,0,4,100
Adelaide Hills,Moogerah Peaks National Park,Brisbane,0,4,100
Adelaide Hills,Moorrinya National Park,All,0,1,100
Adelaide Hills,Moorrinya National Park,Outback,0,1,100
Adelaide Hills,Munga-Thirri National Park,All,5,0,-100
Adelaide Hills,Munga-Thirri National Park,Outback,5,0,-100
Adelaide Hills,Orpheus Island National Park,All,3,0,-100
Adelaide Hills,Orpheus Island National Park,Townsville,3,0,-100
Adelaide Hills,Palmer Goldfield Resources Reserve,All,2,0,-100
Adelaide Hills,Palmer Goldfield Resources Reserve,Tropical North Queensland,2,0,-100
Adelaide Hills,Paluma Range National Park,All,36,26,-27.77777778
Adelaide Hills,Paluma Range National Park,Townsville,36,26,-27.77777778
Adelaide Hills,Porcupine Gorge National Park,All,18,20,11.11111111
Adelaide Hills,Porcupine Gorge National Park,Outback,18,20,11.11111111
Adelaide Hills,Rinyirru (Lakefield) National Park (CYPAL),All,27,14,-48.14814815
Adelaide Hills,Rinyirru (Lakefield) National Park (CYPAL),Tropical North Queensland,27,14,-48.14814815
Adelaide Hills,Russell River National Park,All,0,3,100
Adelaide Hills,Russell River National Park,Tropical North Queensland,0,3,100
Adelaide Hills,Speewah Conservation Park,All,8,10,25
Adelaide Hills,Speewah Conservation Park,Tropical North Queensland,8,10,25
Adelaide Hills,Springbrook National Park,All,24,8,-66.66666667
Adelaide Hills,Springbrook National Park,Gold Coast,24,8,-66.66666667
Adelaide Hills,Sundown National Park,All,4,0,-100
Adelaide Hills,Sundown National Park,Darling Downs,4,0,-100
Adelaide Hills,Tolderodden Conservation Park,All,3,3,0
Adelaide Hills,Tolderodden Conservation Park,Bundaberg,3,3,0
Adelaide Hills,Total,All,"1,247",952,-23.65677626
Adelaide Hills,Total,Brisbane,3,16,433.3333333
Adelaide Hills,Total,Bundaberg,5,15,200
Adelaide Hills,Total,Central Queensland,55,122,121.8181818
Adelaide Hills,Total,Darling Downs,26,43,65.38461538
Adelaide Hills,Total,Fraser Coast,384,423,10.15625
Adelaide Hills,Total,Gold Coast,24,8,-66.66666667
Adelaide Hills,Total,"Launceston, Tamar and the North",4,10,150
Adelaide Hills,Total,Mackay,18,27,50
Adelaide Hills,Total,Outback,119,35,-70.58823529
Adelaide Hills,Total,Sunshine Coast,85,59,-30.58823529
Adelaide Hills,Total,Townsville,42,28,-33.33333333
Adelaide Hills,Total,Tropical North Queensland,458,166,-63.75545852
Adelaide Hills,Total,Whitsundays,24,0,-100
Adelaide Hills,Tuan State Forest,All,0,10,100
Adelaide Hills,Tuan State Forest,Fraser Coast,0,10,100
Adelaide Hills,Tully Gorge National Park,All,8,3,-62.5
Adelaide Hills,Tully Gorge National Park,Tropical North Queensland,8,3,-62.5
Adelaide Hills,White Mountains National Park,All,2,0,-100
Adelaide Hills,White Mountains National Park,Townsville,2,0,-100
Adelaide Hills,Whitsunday Islands National Park,All,8,0,-100
Adelaide Hills,Whitsunday Islands National Park,Whitsundays,8,0,-100
Adelaide Hills,Wongi State Forest,All,0,4,100
Adelaide Hills,Wongi State Forest,Fraser Coast,0,4,100
Adelaide Hills,Wooroonooran National Park,All,14,15,7.142857143
Adelaide Hills,Wooroonooran National Park,Tropical North Queensland,14,15,7.142857143
Australia's Coral Coast,Abergowrie State Forest,All,6,0,-100
Australia's Coral Coast,Abergowrie State Forest,Townsville,6,0,-100
Australia's Coral Coast,Amamoor State Forest and Forest Reserve,All,1,10,900
Australia's Coral Coast,Amamoor State Forest and Forest Reserve,Sunshine Coast,1,10,900
Australia's Coral Coast,Auburn River National Park,All,8,0,-100
Australia's Coral Coast,Auburn River National Park,Bundaberg,8,0,-100
Australia's Coral Coast,Beerburrum and Beerwah State Forests,All,2,16,700
Australia's Coral Coast,Beerburrum and Beerwah State Forests,Sunshine Coast,2,16,700
Australia's Coral Coast,Benarkin State Forest,All,0,1,100
Australia's Coral Coast,Benarkin State Forest,Darling Downs,0,1,100
Australia's Coral Coast,Blackdown Tableland National Park,All,7,20,185.7142857
Australia's Coral Coast,Blackdown Tableland National Park,Central Queensland,7,20,185.7142857
Australia's Coral Coast,Boodjamulla (Lawn Hill) National Park,All,38,0,-100
Australia's Coral Coast,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,38,0,-100
Australia's Coral Coast,Bowling Green Bay National Park,All,0,2,100
Australia's Coral Coast,Bowling Green Bay National Park,Townsville,0,2,100
Australia's Coral Coast,Bribie Island Recreation Area,All,0,10,100
Australia's Coral Coast,Bribie Island Recreation Area,Brisbane,0,10,100
Australia's Coral Coast,Brooyar State Forest,All,2,4,100
Australia's Coral Coast,Brooyar State Forest,"Launceston, Tamar and the North",2,4,100
Australia's Coral Coast,Bunya Mountains National Park,All,0,15,100
Australia's Coral Coast,Bunya Mountains National Park,Darling Downs,0,15,100
Australia's Coral Coast,Byfield National Park,All,0,11,100
Australia's Coral Coast,Byfield National Park,Central Queensland,0,11,100
Australia's Coral Coast,Byfield State Forest,All,6,7,16.66666667
Australia's Coral Coast,Byfield State Forest,Central Queensland,6,7,16.66666667
Australia's Coral Coast,Cathu State Forest,All,0,2,100
Australia's Coral Coast,Cathu State Forest,Mackay,0,2,100
Australia's Coral Coast,Conondale National Park,All,0,6,100
Australia's Coral Coast,Conondale National Park,Sunshine Coast,0,6,100
Australia's Coral Coast,Cooloola Recreation Area,All,8,130,1525
Australia's Coral Coast,Cooloola Recreation Area,Sunshine Coast,8,130,1525
Australia's Coral Coast,Crediton State Forest,All,3,0,-100
Australia's Coral Coast,Crediton State Forest,Mackay,3,0,-100
Australia's Coral Coast,Daintree National Park,All,2,0,-100
Australia's Coral Coast,Daintree National Park,Tropical North Queensland,2,0,-100
Australia's Coral Coast,Daintree National Park (CYPAL),All,0,40,100
Australia's Coral Coast,Daintree National Park (CYPAL),Tropical North Queensland,0,40,100
Australia's Coral Coast,Dalrymple National Park,All,0,2,100
Australia's Coral Coast,Dalrymple National Park,Townsville,0,2,100
Australia's Coral Coast,Danbulla National Park,All,35,29,-17.14285714
Australia's Coral Coast,Danbulla National Park,Tropical North Queensland,35,29,-17.14285714
Australia's Coral Coast,Davies Creek National Park,All,8,0,-100
Australia's Coral Coast,Davies Creek National Park,Tropical North Queensland,8,0,-100
Australia's Coral Coast,Deepwater National Park,All,3,10,233.3333333
Australia's Coral Coast,Deepwater National Park,Central Queensland,3,10,233.3333333
Australia's Coral Coast,Dinden National Park,All,0,5,100
Australia's Coral Coast,Dinden National Park,Tropical North Queensland,0,5,100
Australia's Coral Coast,Eungella National Park,All,1,3,200
Australia's Coral Coast,Eungella National Park,Mackay,1,3,200
Australia's Coral Coast,Eurimbula National Park,All,13,16,23.07692308
Australia's Coral Coast,Eurimbula National Park,Central Queensland,13,16,23.07692308
Australia's Coral Coast,Girramay National Park,All,9,5,-44.44444444
Australia's Coral Coast,Girramay National Park,Tropical North Queensland,9,5,-44.44444444
Australia's Coral Coast,Girraween National Park,All,0,2,100
Australia's Coral Coast,Girraween National Park,Darling Downs,0,2,100
Australia's Coral Coast,Girringun National Park,All,12,12,0
